date,update
2022-9-12,September 2022 Core Update
2022-8-25,Helpful Content Update
2022-7-27,Product Reviews Update
2022-5-22,May 2022 Core Update
2022-3-23,Product Reviews Update
2022-2-22,Page Experience Update
2021-12-17,Unnamed Update
2021-12-6,Top Stories Redesign
2021-12-1,Product Reviews Update
2021-11-17,November 2021 Core Update
2021-11-3,Spam Update Nov 21
2021-10-2,Unnamed Update
2021-8-19,SERP Title Update
2021-7-5,July Core Algorithm Update
2021-6-9,June Core Algorithm Update
2021-5-5,Unannounced May 2021
2020-12-3,December 2020 Core Update
2020-10-12,"Indexing Bug, Pt. 2"
2020-9-29,"Indexing Bug, Pt. 1"
2020-8-15,Unnamed Update
2020-8-10,Google Glitch
2020-6-22,Google Bug Fix
2020-5-4,May 2020 Core Update
2020-3-11,Covid-19 Pandemic
2020-2-7,Unnamed Update
2020-1-22,Featured Snippet De-duping
2020-1-13,January 2020 Core Update
2019-12-9,International BERT Roll-out
2019-10-22,BERT Update
2019-10-2,Unnamed Update
2019-9-24,September 2019 Core Update
2019-7-12,Maverick Update
2019-6-6,Site Diversity Update
2019-6-3,June 2019 Core Update
2019-5-23,Indexing Bugs
2019-4-5,Deindexing Bug
2019-3-12,March 2019 Core Update
2019-3-1,19-Result SERPs
2019-2-6,Unnamed Update
2018-11-29,Unnamed Update
2018-10-15,Unnamed Update
2018-9-10,Unnamed Update
2018-8-1,Medic Core Update
2018-7-24,Chrome Security Warnings
2018-7-21,Unnamed Update
2018-7-9,Mobile Speed Update
2018-6-14,Video Carousels
2018-5-23,Unnamed Update
2018-5-13,Snippet Length Drop
2018-4-17,Unnamed Core Update
2018-3-26,Mobile-First Index Roll-out
2018-3-14,Zero-Result SERP Test
2018-3-8,Brackets Core Update
2018-2-20,Unnamed Update
2017-12-14,Maccabees
2017-11-30,Snippet Length Increase
2017-11-14,Unnamed Update
2017-10-27,Featured Snippet Drop
2017-10-17,Chrome HTTPS Warnings
2017-9-27,Unnamed Update
2017-6-20,Google Jobs
2017-5-17,Unnamed Update
2017-4-16,Google Tops 50% HTTPS
2017-3-8,Fred (Unconfirmed)
2017-2-6,Unnamed Update
2017-2-1,Unnamed Update
2017-1-10,Intrusive Interstitial Penalty
2016-12-14,Unnamed Update
2016-11-10,Unnamed Update
2016-10-6,Penguin 4.0 Phase 2
2016-9-27,Penguin 4.0 Phase 1
2016-9-23,Penguin 4.0 Announcement
2016-9-13,Image/Universal Drop
2016-9-1,Possum
2016-5-12,Mobile-friendly 2
2016-5-10,Unnamed Update
2016-2-23,AdWords Shake-up
2016-1-8,Unnamed Update
2015-10-26,RankBrain*
2015-7-17,Panda 4.2 (#28)
2015-5-3,The Quality Update
2015-4-22,"Mobile Update AKA ""Mobilegeddon"""
2015-2-4,Unnamed Update
2014-12-22,Pigeon Expands (UK CA AU)
2014-12-10,Penguin Everflux
2014-10-21,Pirate 2.0
2014-10-17,Penguin 3.0
2014-10-1,In The News Box
2014-9-23,Panda 4.1 (#27)
2014-8-28,Authorship Removed
2014-8-6,HTTPS/SSL Update
2014-7-24,Pigeon
2014-6-28,Authorship Photo Drop
2014-6-12,Payday Loan 3.0
2014-5-19,Panda 4.0 (#26)
2014-5-16,Payday Loan 2.0
2014-3-24,Unnamed Update
2014-2-6,Page Layout #3
2013-12-19,Authorship Shake-up
2013-12-17,Unnamed Update
2013-11-14,Unnamed Update
2013-10-4,Penguin 2.1 (#5)
2013-8-20,Hummingbird
2013-8-6,In-depth Articles
2013-7-26,Unnamed Update
2013-7-19,Knowledge Graph Expansion
2013-7-18,Panda Recovery
2013-6-27,Multi-Week Update
2013-6-11,Payday Loan Update
2013-6-11,Panda Dance
2013-5-22,Penguin 2.0 (#4)
2013-5-21,Domain Crowding
2013-5-9,Phantom
2013-3-14,Panda #25
2013-1-22,Panda #24
2012-12-21,Panda #23
2012-12-4,Knowledge Graph Expansion
2012-11-21,Panda #22
2012-11-5,Panda #21
2012-10-9,Page Layout #2
2012-10-5,Penguin #3
2012-10-4,August/September 65-Pack
2012-9-27,Panda #20
2012-9-27,Exact-Match Domain (EMD) Update
2012-9-18,Panda 3.9.2 (#19)
2012-8-20,Panda 3.9.1 (#18)
2012-8-14,7-Result SERPs
2012-8-10,June/July 86-Pack
2012-8-10,"DMCA Penalty (""Pirate"")"
2012-7-24,Panda 3.9 (#17)
2012-7-19,Link Warnings
2012-6-25,Panda 3.8 (#16)
2012-6-8,Panda 3.7 (#15)
2012-6-7,May 39-Pack
2012-5-25,Penguin 1.1 (#2)
2012-5-16,Knowledge Graph
2012-5-4,April 52-Pack
2012-4-27,Panda 3.6 (#14)
2012-4-24,Penguin
2012-4-19,Panda 3.5 (#13)
2012-4-16,Parked Domain Bug
2012-4-3,March 50-Pack
2012-3-23,Panda 3.4 (#12)
2012-3-12,Search Quality Video
2012-2-27,February 40-Pack (2)
2012-2-27,Panda 3.3 (#11)
2012-2-27,Venice
2012-2-3,February 17-Pack
2012-1-19,Ads Above The Fold
2012-1-18,Panda 3.2 (#10)
2012-1-10,Search + Your World
2012-1-5,January 30-Pack
2011-12-1,December 10-Pack
2011-11-18,Panda 3.1 (#9)
2011-11-14,10-Pack of Updates
2011-11-3,Freshness Update
2011-10-18,Query Encryption
2011-10-5,"Panda ""Flux"" (#8)"
2011-9-28,Panda 2.5 (#7)
2011-9-21,516 Algo Updates
2011-9-15,Pagination Elements
2011-8-16,Expanded Sitelinks
2011-8-12,Panda 2.4 (#6)
2011-7-23,Panda 2.3 (#5)
2011-6-28,Google+
2011-6-21,Panda 2.2 (#4)
2011-6-2,Schema.org
2011-5-9,Panda 2.1 (#3)
2011-4-11,Panda 2.0 (#2)
2011-3-30,The +1 Button
2011-2-23,Panda/Farmer
2011-1-28,Attribution Update
2011-1-1,Overstock.com Penalty
2010-12-1,Negative Reviews
2010-12-1,Social Signals
2010-11-1,Instant Previews
2010-9-1,Google Instant
2010-8-1,Brand Update
2010-6-1,Caffeine (Rollout)
2010-5-1,May Day
2010-4-1,Google Places
2009-12-1,Real-time Search
2009-8-1,Caffeine (Preview)
2009-2-1,Vince
2009-2-1,Rel-canonical Tag
2008-8-1,Google Suggest
2008-4-1,Dewey
2007-6-1,Buffy
2007-5-1,Universal Search
2006-12-1,False Alarm
2006-11-1,Supplemental Update
2005-12-1,Big Daddy
2005-10-1,Google Local/Maps
2005-10-1,Jagger
2005-9-1,Gilligan
2005-6-1,XML Sitemaps
2005-6-1,Personalized Search
2005-5-1,Bourbon
2005-2-1,Allegra
2005-1-1,Nofollow
2004-8-1,Google IPO
2004-2-1,Brandy
2004-1-1,Austin
2003-11-1,Florida
2003-9-1,Supplemental Index
2003-7-1,Fritz
2003-6-1,Esmeralda
2003-5-1,Dominic
2003-4-1,Cassandra
2003-2-1,Boston
2002-9-1,1st Documented Update
2000-12-1,Google Toolbar
